year,state_name,required_spending_statewide,actual_spending_statewide,statewide_enrollment
2015,Montana,10225.7,10872.9,143594.0
2015,Nebraska,10053.62,11474.19,307220.0
2015,Nevada,12454.36,8614.81,438948.0
2015,New Hampshire,8402.94,14754.48,181620.0
2015,New Jersey,46280.96,17616.78,1362243.0
2015,New Mexico,13058.17,9751.8,326297.0
2015,New York,15238.76,21218.6,2628310.0
2015,North Carolina,12708.11,8687.2,1465031.0
2015,North Dakota,8844.02,12755.85,102999.0
2015,Ohio,11697.32,10645.96,1600122.0
2015,Oklahoma,10808.39,8068.75,671547.0
2015,Oregon,10311.62,9887.11,570376.0
2015,Pennsylvania,10932.31,13344.14,1587052.0
2015,Rhode Island,11967.24,15046.92,134574.0
2015,South Carolina,13682.96,9934.98,715450.0
2015,South Dakota,9528.33,8878.78,130724.0
2015,Tennessee,10641.95,8547.88,840839.0
2015,Texas,14198.62,8781.59,5000536.0
2015,Utah,8166.97,6556.1,539771.0
2015,Vermont,9830.81,15185.04,83491.0
2015,Virginia,11708.17,11236.24,1279867.0
2015,Washington,10296.75,10476.88,1072359.0
2015,West Virginia,9486.65,11201.29,279565.0
2015,Wisconsin,10570.87,11353.68,859211.0
2015,Wyoming,8023.76,16054.72,93867.0
2014,Alabama,14389.73,9024.47,735165.0
2014,Alaska,,,
2014,Arizona,11364.18,7425.23,942430.0
2014,Arkansas,13556.16,9420.56,477607.0
2014,California,14893.26,9109.48,6001393.0
2014,Colorado,10475.86,8915.89,865231.0
2014,Connecticut,10595.13,17569.41,511082.0
2014,Delaware,12123.77,13787.99,113438.0
2014,District of Columbia,22729.08,18485.0,44942.0
2014,Florida,12270.28,8755.48,2708022.0
2014,Georgia,14720.55,9154.9,1699185.0
2014,Hawaii,,,
2014,Idaho,8853.94,6601.65,280096.0
2014,Illinois,12692.38,12663.21,2045194.0
2014,Indiana,10803.61,9433.59,1005545.0
2014,Iowa,9495.18,10065.37,501763.0
2014,Kansas,10380.55,10040.56,481088.0
2014,Kentucky,10390.94,9312.31,674708.0
2014,Louisiana,14132.27,10706.16,657724.0
2014,Maine,9899.82,12770.85,129038.0
2014,Maryland,12726.72,14003.01,865768.0
2014,Massachusetts,10729.83,14904.52,887431.0
2014,Michigan,12081.69,10003.78,1363533.0
2014,Minnesota,10103.02,10867.99,797181.0
2014,Mississippi,16877.3,8259.98,491426.0
2014,Missouri,10800.85,9467.77,892963.0
2014,Montana,10508.14,10863.67,143203.0
2014,Nebraska,9728.64,11269.66,302955.0
2014,Nevada,11754.03,8414.32,435765.0
2014,New Hampshire,8417.71,14378.61,183528.0
2014,New Jersey,11081.27,17319.23,1305764.0
2014,New Mexico,13045.03,9007.65,326637.0
2014,New York,14382.87,20609.53,2618542.0
2014,North Carolina,12521.83,8511.82,1441391.0
2014,North Dakota,8995.66,11865.18,100079.0
2014,Ohio,11719.4,10370.87,1601565.0
2014,Oklahoma,10669.84,7821.16,667088.0
2014,Oregon,10371.01,9402.57,566467.0
2014,Pennsylvania,10540.88,12517.05,1602896.0
2014,Rhode Island,11389.5,14636.14,135084.0
2014,South Carolina,13651.34,9718.68,707420.0
2014,South Dakota,9319.91,8824.24,128572.0
2014,Tennessee,10609.57,8510.62,838682.0
2014,Texas,14292.14,8512.8,4945282.0
2014,Utah,8020.91,6486.53,536029.0
